ObjectID,business_id,categories,city,lat,lng,business_name,neighborhoods,rating,num_reviews,category_filter,neighborhood_search,zipcode,category_type
0,escape-the-room-nyc-midtown-new-york,"[[Challenge Courses, challengecourses]]",New York,40.7473297,-73.9872513,Escape The Room NYC - Midtown,"[Midtown West, Koreatown]",4.5,229,active,"New York, NY",10001,activity
1,the-fhitting-room-new-york-3,"[[Gyms, gyms], [Trainers, healthtrainers]]",New York,40.7758751,-73.9584122,The Fhitting Room,[Upper East Side],4.5,26,active,"New York, NY",10075,activity
2,movingstrength-new-york-2,"[[Pilates, pilates], [Yoga, yoga]]",New York,40.77473,-73.95172099999998,MovingStrength,"[Upper East Side, Yorkville]",4.5,26,active,"New York, NY",10028,activity
3,ts-fitness-new-york,"[[Trainers, healthtrainers], [Gyms, gyms]]",New York,40.759355,-73.962712,TS Fitness,[Midtown East],5.0,26,active,"New York, NY",10022,activity
4,center-for-movement-new-york-2,"[[Pilates, pilates]]",New York,40.7745018,-73.9546204,Center for Movement,"[Upper East Side, Yorkville]",5.0,4,active,"New York, NY",10028,activity
5,atomic-total-fitness-new-york,"[[Trainers, healthtrainers]]",New York,40.760929,-73.969894,Atomic Total Fitness,[Midtown East],5.0,17,active,"New York, NY",10022,activity
6,strawberry-fields-new-york-2,"[[Parks, parks]]",New York,40.7762201875,-73.975950256,Strawberry Fields,[Upper East Side],4.5,121,active,"New York, NY",10079,activity
7,yorkville-physical-therapy-and-sports-rehab-new-york-3,"[[Gyms, gyms], [Yoga, yoga], [Physical Therapy, physicaltherapy]]",New York,40.778137,-73.953499,Yorkville Physical Therapy & Sports Rehab.,"[Upper East Side, Yorkville]",5.0,13,active,"New York, NY",10028,activity
8,asphalt-green-upper-east-side-new-york-2,"[[Gyms, gyms], [Swimming Pools, swimmingpools], [Sports Clubs, sports_clubs]]",New York,40.77917100000001,-73.9445419,Asphalt Green - Upper East Side,"[Upper East Side, Yorkville]",4.0,53,active,"New York, NY",10128,activity
9,living-well-balanced-new-york-2,"[[Trainers, healthtrainers], [Chiropractors, chiropractors], [Massage Therapy, massage_therapy]]",New York,40.78178,-73.976606,Living Well Balanced,[Upper West Side],5.0,8,active,"New York, NY",10024,activity
